,mapped_veh_id,timestamps_utc,lat,lon,rs_e_inairtemp_pc1,rs_e_inairtemp_pc2,rs_e_oilpress_pc1,rs_e_oilpress_pc2,rs_e_rpm_pc1,rs_e_rpm_pc2,rs_e_wattemp_pc1,rs_e_wattemp_pc2,rs_t_oiltemp_pc1,rs_t_oiltemp_pc2,pg_point,utm_point,anomaly id
13648,102,2023-03-31 14:51:55,51.0140123,3.7794214,13.0,15.0,565.0,610.0,1249.0,1281.0,41.0,32.0,22.0,22.0,0101000020E6100000976B7649413C0E40F11EB127CB814940,0101000020777F00005DF367B965ED2041EF37C90B368F5541,iso results
13711,102,2023-03-11 09:04:01,50.8567453,3.6080924,1.0,1.5,608.5,605.0,799.0,798.5,8.5,11.0,0.0,2.5,0101000020E6100000B791578C5FDD0C4038407AD4A96D4940,0101000020777F0000F64B0465A190204183CCB0B1057E5541,iso results
13983,102,2023-07-19 09:07:27,51.0233757,3.7595862,20.0,18.0,576.0,583.0,800.0,803.0,22.0,21.0,17.0,19.0,0101000020E61000007EF1FBEDA1130E40B48295F9FD824940,0101000020777F0000331B217F71E22041E98BD2B836905541,iso results
14047,102,2023-02-24 13:09:24,51.0129584,3.7804281,15.0,15.0,600.0,600.0,794.0,806.0,16.0,17.0,12.0,14.0,0101000020E61000000C097316513E0E40B01AF09EA8814940,0101000020777F0000719DB270F5ED2041ABDD15EF188F5541,iso results
14199,102,2023-03-06 02:08:07,50.8564541,3.6079183,3.0,3.0,584.5,603.0,800.5,798.0,17.0,13.0,2.5,4.0,0101000020E61000008D1E094504DD0C403703B749A06D4940,0101000020777F00006F6B6B6B899020418EFBD392FD7D5541,iso results
14409,102,2023-02-08 03:41:46,50.7741102,3.8730602,1.0,2.0,552.0,576.0,799.0,799.0,25.0,25.0,17.0,17.0,0101000020E6100000858373FC06FC0E400140040B16634940,0101000020777F0000B4A88E972D23214193486C3A3B755541,iso results
14426,102,2023-01-31 13:19:25,51.0160447,3.7739913,7.0,7.0,586.0,617.0,799.0,792.0,10.0,8.0,6.0,7.0,0101000020E6100000B31BC75922310E4017E3B2C00D824940,0101000020777F0000F1E2712A67EA204199DB558B6D8F5541,iso results
14701,102,2023-04-03 08:53:47,51.0144538,3.778546,5.0,5.0,583.0,586.0,798.0,803.0,16.0,12.0,9.0,9.0,0101000020E6100000F3734353763A0E40C626439FD9814940,0101000020777F00001C839DDFE9EC2041A9465F28428F5541,iso results
14734,102,2023-07-19 09:06:40,51.0231284,3.7600672,20.0,18.0,589.0,583.0,797.0,794.0,20.0,18.0,18.0,19.0,0101000020E61000002C19B61C9E140E40EDCD14DFF5824940,0101000020777F0000E67A2688B5E2204149FB0FEF2F905541,iso results
14754,102,2023-05-15 02:47:26,51.0166407,3.7721745,8.0,11.0,603.0,603.0,798.0,799.0,16.0,17.0,16.0,16.0,0101000020E6100000F47002D3692D0E402B244F4821824940,0101000020777F0000E227CFE666E920416BF979C77D8F5541,iso results
14842,102,2023-06-27 22:41:39,51.0129603,3.7808204,22.0,22.0,552.0,579.0,822.0,813.0,26.0,26.0,23.0,23.0,0101000020E6100000A96510C41E3F0E40BC52E0AEA8814940,0101000020777F0000DC9473792CEE2041C8AD420F198F5541,iso results
14901,102,2023-03-27 02:25:34,50.7744437,3.8728518,4.0,4.0,589.0,607.0,799.0,801.0,17.0,15.0,8.0,6.0,0101000020E6100000B1097AB999FB0E40EF0B9EF820634940,0101000020777F0000957831540F2321412485B57444755541,iso results
14902,102,2023-03-27 02:28:11,50.7740584,3.8726792,4.0,5.0,558.0,562.0,800.0,795.0,24.0,20.0,12.0,8.0,0101000020E61000000F327F3B3FFB0E40D8987C5814634940,0101000020777F0000B5763100F822214152D57DB539755541,iso results
14918,102,2023-03-01 13:41:55,51.0157587,3.7746649,16.0,6.0,600.0,589.0,799.0,801.0,16.0,11.0,11.0,8.0,0101000020E610000075DFD68283320E4051908E6104824940,0101000020777F000025C81955C6EA2041B2D5A9B7658F5541,iso results
14947,102,2023-03-06 02:10:06,50.8562977,3.6076888,3.0,4.0,562.0,586.0,800.0,795.0,22.0,18.0,7.0,6.0,0101000020E6100000F42911F28BDC0C40EC91BC299B6D4940,0101000020777F00005D9F236669902041B6CB4131F97D5541,iso results
14997,102,2023-03-12 22:51:02,50.8563985,3.6076649,9.0,9.0,593.0,603.0,799.0,800.0,11.0,10.0,7.0,9.0,0101000020E6100000B96A436A7FDC0C40F6EB4E779E6D4940,0101000020777F00001BF7A3D965902041DC49BEFDFB7D5541,iso results
15097,102,2023-04-03 08:52:37,51.014453,3.7785312,5.0,5.0,617.0,614.0,808.0,794.0,11.0,9.0,6.0,9.0,0101000020E61000003953D7906E3A0E40202A8D98D9814940,0101000020777F0000A7FC8DCCE7EC2041BB10FA21428F5541,iso results
